Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE,Unnamed: 7
2022/12/9,141.943283,141.7730304,142.7597526,138.8800474,144.139909,142.7597526,142.2075015
2022/12/12,144.26973,141.3954385,141.759412,140.7534738,141.45404,141.759412,142.0863004
2022/12/13,145.24823,140.5279778,141.7397366,143.9821542,146.596177,141.7397366,142.3494285
2022/12/14,142.991684,144.5642247,143.5491368,145.9374448,146.22673,143.5491368,142.101521
2022/12/15,136.291901,142.8793221,141.0156896,144.7642638,140.735138,141.0156896,140.7506089
2022/12/16,134.304932,136.4459568,137.6870002,135.9411393,129.592118,137.6870002,137.588133
2022/12/19,132.168198,133.7842308,134.0617093,132.1168913,132.317963,134.0617093,136.0479159
2022/12/20,132.098312,130.8196095,136.3950383,128.6239355,130.031464,136.3950383,133.9043967
2022/12/21,135.2435,130.2891047,131.2564426,127.7399292,132.028426,131.2564426,133.8036913
2022/12/22,132.028412,133.1209909,133.7595929,133.6667657,138.388688,133.7595929,132.5091548
2022/12/23,131.658981,128.5300389,132.5114288,132.5378117,128.813324,132.5114288,132.34726
2022/12/27,129.831772,130.0276827,130.7707582,132.5130719,131.28955,130.7707582,130.7160166
2022/12/28,125.847855,128.756672,128.8658627,129.8940309,128.004563,128.8658627,128.2198161
2022/12/29,129.412415,127.8261292,125.0228274,124.8075066,121.863938,125.0228274,126.891197
2022/12/30,129.731918,127.3204384,126.7849008,126.3301484,132.976975,126.7849008,126.8334694
2023/1/3,124.879326,127.3009614,128.69268,128.2385054,130.051421,128.69268,126.7044315
2023/1/4,126.167366,125.2496399,124.6357137,126.4218447,120.026734,124.6357137,126.0763271
2023/1/5,124.829399,125.6526399,124.9005876,126.6656891,127.455406,124.9005876,124.4171701
2023/1/6,129.422394,124.3132814,123.7152088,124.0566533,123.491432,123.7152088,125.482593
2023/1/9,129.951584,125.9849636,127.8319827,127.0342005,134.015389,127.8319827,125.425976
2023/1/10,130.530701,128.0251819,124.7307364,130.5118663,130.480774,124.7307364,127.4474112
2023/1/11,133.286499,128.8433034,129.7795145,132.7021001,131.109818,129.7795145,129.1025691
2023/1/12,133.206619,133.2294804,132.7974563,134.855362,136.042297,132.7974563,130.785953
2023/1/13,134.55455,134.2100955,129.7808881,135.0377247,133.126739,129.7808881,130.933267
2023/1/17,135.732758,137.6056972,130.2214568,135.9361415,135.902481,130.2214568,130.5580031
2023/1/18,135.003876,137.5716026,131.6716644,137.556896,136.910966,131.6716644,132.5544326
2023/1/19,135.063782,136.6805026,135.7701765,136.3711881,134.274994,135.7701765,134.5383504
2023/1/20,137.659805,136.8476626,136.1732102,135.8854239,135.123688,136.1732102,136.4927681
2023/1/23,140.894882,137.9178844,137.5349174,137.1557343,140.255828,137.5349174,138.3120608
2023/1/24,142.312714,139.7680436,141.2280547,141.8268632,144.129959,141.2280547,140.7393094
2023/1/25,141.643738,143.3346853,143.4549561,144.0301345,143.730546,143.4549561,142.5173854
2023/1/26,143.74054,143.3757227,142.8691453,145.2170015,140.974762,142.8691453,143.6415667
2023/1/27,145.70752,144.9221785,144.6005986,145.2076852,145.837342,144.6005986,144.6629768
2023/1/30,142.781998,147.0428237,146.5191867,146.3320072,147.6745,146.5191867,145.824676
2023/1/31,144.070023,146.4261711,146.3542428,144.3760183,139.856476,146.3542428,146.5999137
2023/2/1,145.208282,145.1255735,146.9263118,144.7106154,145.358048,146.9263118,146.627653
2023/2/2,150.590088,145.9760625,146.6024045,144.8682951,146.346541,146.6024045,147.5406907
2023/2/3,154.264465,148.5857349,149.0933557,149.5966154,155.971894,149.0933557,149.0185571
2023/2/6,151.498688,155.249912,151.3599112,156.3824745,157.938842,151.3599112,150.990664
